profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,#posts,#followers,#follows
1,0.33,1,0.33,1,30,0,1,35,488,604
1,0,5,0,0,64,0,1,3,35,6
1,0,2,0,0,82,0,1,319,328,668
1,0,1,0,0,143,0,1,273,14890,7369
1,0.5,1,0,0,76,0,1,6,225,356
1,0,1,0,0,0,0,1,6,362,424
1,0,1,0,0,132,0,1,9,213,254
1,0,2,0,0,0,0,1,19,552,521
1,0,2,0,0,96,0,1,17,122,143
1,0,1,0,0,78,0,1,9,834,358
1,0,1,0,0,0,0,1,53,229,492
1,0.14,1,0,0,78,1,1,97,1913,436
1,0.14,2,0,0,61,0,1,17,200,437
1,0.33,2,0,0,45,0,1,8,130,622
1,0.1,2,0,0,43,0,0,60,192,141
1,0,2,0,0,56,0,1,51,498,337
1,0.33,2,0,0,86,0,1,25,96,499
1,0,1,0,0,97,0,1,188,202,605
1,0,3,0,0,46,0,1,590,175,199
1,0,2,0,0,39,0,1,251,223,694
1,0.5,1,0,0,0,0,1,0,189,276
1,0,0,0,0,28,0,1,58,486,862
1,0.22,2,0,0,63,0,1,46,464,367
1,0,2,0,0,24,0,1,19,150,157
1,0.1,1,0,0,4,0,1,250,2983,545
1,0,1,0,0,27,0,1,28,116,138
1,0,1,0,0,137,1,0,1065,155537,1395
1,0,1,0,0,69,0,1,209,248,490
1,0.33,1,0,0,0,0,1,5,348,347
1,0,2,0,0,147,1,0,1879,4021842,5514
1,0,2,0,0,0,0,0,9,366,552
1,0,2,0,0,138,1,0,253,1064,573
1,0,2,0,0,117,1,0,90,81267,963
1,0,2,0,0,0,0,1,8,400,449
1,0.17,1,0,0,0,0,0,12,361,562
1,0,2,0,0,14,0,0,13,228,346
1,0,2,0.3,0,18,0,0,59,855,151
1,0,4,0,0,54,1,0,77,777,148
1,0,1,0,0,0,1,0,14,264,151
1,0.15,2,0,0,73,1,0,330,1572,3504
1,0,0,0,0,47,0,1,2,510,185
1,0,2,0,0,84,1,0,932,1027419,293
1,0,1,0,0,39,1,0,6,710,549
1,0.09,2,0,0,77,0,0,463,2267,466
1,0,1,0,0,33,0,1,62,2055,993
1,0,2,0,0,149,1,1,247,814,1111
1,0,2,0,0,8,0,1,85,668,605
1,0,2,0,0,0,0,0,0,87,40
1,0,2,0,0,18,0,1,118,461,1055
1,0,9,0,0,133,1,0,307,602517,482
1,0,3,0,0,0,0,0,9,62,47
1,0,2,0,0,81,0,1,25,341,274
1,0,2,0,0,4,0,0,42,717,223
1,0,1,0,0,13,0,1,14,386,363
1,0,2,0,0,20,0,0,78,673,568
1,0,7,0,0,24,0,1,465,654,535
1,0,2,0,0,19,0,0,65,751,577
1,0.14,2,0,0,0,0,0,9,209,276
1,0,2,0,0,146,0,0,145,573,474
1,0,2,0,0,0,0,1,1,284,505
0,0.05,1,0.0,0,0,0,0,0,0,2
1,0.27,1,0.0,0,0,0,0,0,45,64
0,0.07,1,0.0,0,0,0,0,0,19,30
0,0.0,1,0.0,1,0,0,0,0,69,694
0,0.0,2,0.0,0,0,0,0,0,22,82
0,0.22,0,0,0,0,0,0,0,31,124
0,0.0,3,0.0,0,0,0,0,0,9,25
0,0.0,1,0.0,1,0,0,0,0,69,694
0,0.0,1,0.0,0,0,0,0,0,23,33
0,0.62,1,0.4,0,0,0,0,1,17,34
0,0.0,2,0.0,0,14,0,0,0,46,38
0,0.42,1,0.0,0,0,0,0,0,16,2
0,0.62,1,0.4,0,0,0,0,0,0,18
0,0.5,1,0.4,0,0,0,0,0,21,1
0,0.31,0,0,0,0,0,0,0,52,15
0,0.27,1,0.0,0,0,0,0,1,24,2
0,0.5,2,0.0,0,0,0,0,0,13,22
0,0.75,1,1.0,0,0,0,0,0,227,353
1,0.43,1,0.0,0,0,0,0,2,10,24
0,0.25,1,0.0,0,0,0,0,0,46,18
1,0.88,1,1.0,0,0,0,0,3,57,22
1,0.89,1,1.0,0,0,0,0,8,341,2287
1,0.0,2,0.0,0,0,0,0,3,1789,6153
1,0.27,1,0.0,0,0,0,0,0,45,64
0,0.0,1,0.0,0,0,0,0,0,21,31
1,0.56,1,0.56,1,20,0,0,34,309,250
1,0.0,3,0.0,0,58,0,0,4,1742,6172
0,0.14,1,0.0,0,0,0,0,0,1906,2129
1,0.0,5,0.0,0,0,0,0,1,39,324
0,0.5,0,0,0,0,0,0,1,17,33
